top-left-square class
top-middle-square bottom-left-square class
top-right-square bottom-middle-square class
middle-left-square top-right-square class
middle-middle-square bottom-left-square class
middle-right-square top-left-square class
bottom-left-square middle-right-square class
bottom-middle-square top-left-square class
bottom-right-square middle-left-square class

negative negative 0.589145909765
positive positive 0.930508428020
positive positive 0.831695234066
negative negative 0.572822600124
positive positive 0.905309336043
positive negative 0.534929880504
positive positive 0.924739790769
positive positive 0.589030941395
positive positive 0.901392941968
negative positive 0.637349369839
positive positive 0.567762332859
positive positive 0.921714783351
positive positive 0.927803713146
positive positive 0.522935932189
positive negative 0.736051151947
negative positive 0.663909034941
positive positive 0.867399519912
positive positive 0.666387187186
negative negative 0.830239502715
positive positive 0.741696543025
negative negative 0.552762692235
negative negative 0.741832856553
positive negative 0.592320026451
positive negative 0.586160585774
negative negative 0.590387429076
positive positive 0.818722122209
negative negative 0.606117174526
positive positive 0.818485830460
negative negative 0.620581234532
negative negative 0.631966264720
positive positive 0.799987950430
negative positive 0.502203568212
positive negative 0.546176182824
positive positive 0.942397026093
positive negative 0.610968935204
negative negative 0.652591969066
positive positive 0.659889754931
negative negative 0.621878452396
positive positive 0.723188582131
negative negative 0.751314257110
positive positive 0.544372795598
positive negative 0.762564658717
negative negative 0.530123470126
positive positive 0.899216435505
positive positive 0.889415862939
positive positive 0.565052606821
negative negative 0.723590303298
negative positive 0.759163042323
negative negative 0.517995449768
positive negative 0.680363169457
negative negative 0.542937428814
positive positive 0.906090893404
positive negative 0.743153592571
positive positive 0.913063958455
positive positive 0.842696137435
negative negative 0.569266928890
positive positive 0.753264404314
positive positive 0.899889194296
positive positive 0.750534943993
negative positive 0.574212603454
positive positive 0.744476609692
positive positive 0.811225489298
negative negative 0.536879464364
negative positive 0.792682457075
positive positive 0.794052244253
negative negative 0.729390922632
positive positive 0.888267501312
negative positive 0.658432981438
positive positive 0.784460444569
positive positive 0.948043749809
positive positive 0.923960675003
negative negative 0.612339746336
negative negative 0.712715105342
positive positive 0.807300836468
positive positive 0.759129598675
positive positive 0.860058514887
positive positive 0.887757059351
positive positive 0.943092932806
positive positive 0.598564829459
positive positive 0.774052340513
positive positive 0.625009215916
positive positive 0.839068303369
positive positive 0.943650983820
positive positive 0.934232864297
positive positive 0.552021832333
positive positive 0.896636838599
positive negative 0.702096358996
positive positive 0.709827818486
positive positive 0.952548694152
positive positive 0.854457065957
negative negative 0.662291237187
positive positive 0.938343513089
negative negative 0.919735926642
positive positive 0.707348917911
positive positive 0.787343469794
negative negative 0.909516478126
positive negative 0.692392805191
positive positive 0.707580797992
positive positive 0.856294973235
negative positive 0.845422398259
positive positive 0.663535608898
positive positive 0.941843166247
negative negative 0.582191380259
positive positive 0.915657943302
negative positive 0.661966239412
positive positive 0.770416785519
negative negative 0.698006675341
positive positive 0.814224226848
negative negative 0.643045233437
positive positive 0.886119382353
positive positive 0.841681648797
positive negative 0.763117108921
positive positive 0.843332352220
negative positive 0.674826854548
negative positive 0.673563505668
positive positive 0.908925266435
positive positive 0.551361012446
positive negative 0.654548928356
positive negative 0.582104004851
positive positive 0.761403849681
positive positive 0.858940395657
positive negative 0.760445884241
negative negative 0.850501693997
negative negative 0.718895167007
positive positive 0.870685572324
positive positive 0.861260649387
positive positive 0.922195557848
positive positive 0.872494538832
positive negative 0.758351722742
positive negative 0.673122714093
negative negative 0.688112826546
positive positive 0.879858525565
negative negative 0.599376274416
positive positive 0.814159329587
positive positive 0.965337241135
negative negative 0.702696410001
positive positive 0.910537829089
positive positive 0.967761382015
negative negative 0.565120370015
positive negative 0.547811354901
positive positive 0.857062886951
positive positive 0.751496559151
positive positive 0.531765277051
positive negative 0.585647311771
positive positive 0.812410753478
positive positive 0.727383313984
positive positive 0.685726054764
negative negative 0.778295871269
positive positive 0.761682132769
positive positive 0.911228548119
positive positive 0.951538544011
negative negative 0.897441888544
positive negative 0.759135932165
positive positive 0.599005157355
positive positive 0.726165734685
negative negative 0.561625669933
positive positive 0.965226376706
positive negative 0.658036940927
positive positive 0.879504925079
positive positive 0.960972307442
positive positive 0.781133135077
positive negative 0.681617408145
positive positive 0.847674287095
negative positive 0.604957238422
positive negative 0.590174199740
negative negative 0.634964557474
positive positive 0.606882728330
positive positive 0.793515152935
negative negative 0.694823610876
positive negative 0.868862450554
positive positive 0.833843170661
positive positive 0.911333889949
negative negative 0.683426699395
positive negative 0.829903321699
negative negative 0.602160950444
negative positive 0.574992206448
positive negative 0.690920145121
positive positive 0.928197114127
positive positive 0.812099447012
positive negative 0.719380106900
negative negative 0.663632223354
negative positive 0.610402721082
positive negative 0.759719417553
positive positive 0.888846447939
negative negative 0.805480936612
negative negative 0.781946549503
positive positive 0.828160382017
positive positive 0.728794156944
positive positive 0.648025048487
positive positive 0.938907089168
positive positive 0.849728275894
positive positive 0.889786727104

150 

